INFO       2022-04-12 14:51:02,975: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
DEBUG      2022-04-12 14:51:09,081: Timestep:    52-{'drag': 24655413.21632039}
INFO       2022-04-12 14:51:09,191: topic='drag' sending data='{"drag": 24696789.56225315}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24696789.56225315}'
INFO       2022-04-12 14:51:09,191: topic='field_update' sending data='{"currentTimestep": 54}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 54}'
DEBUG      2022-04-12 14:51:09,191: Timestep:    53-{'drag': 24696789.56225315}
INFO       2022-04-12 14:51:09,342: topic='drag' sending data='{"drag": 24706731.076022044}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24706731.076022044}'
INFO       2022-04-12 14:51:09,342: topic='field_update' sending data='{"currentTimestep": 55}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 55}'
DEBUG      2022-04-12 14:51:09,342: Timestep:    54-{'drag': 24706731.076022044}
INFO       2022-04-12 14:51:09,496: topic='drag' sending data='{"drag": 24685303.170183133}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24685303.170183133}'
INFO       2022-04-12 14:51:09,496: topic='field_update' sending data='{"currentTimestep": 56}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 56}'
DEBUG      2022-04-12 14:51:09,496: Timestep:    55-{'drag': 24685303.170183133}
INFO       2022-04-12 14:51:09,648: topic='drag' sending data='{"drag": 24632584.607294645}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24632584.607294645}'
INFO       2022-04-12 14:51:09,648: topic='field_update' sending data='{"currentTimestep": 57}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 57}'
DEBUG      2022-04-12 14:51:09,648: Timestep:    56-{'drag': 24632584.607294645}
INFO       2022-04-12 14:51:09,802: topic='drag' sending data='{"drag": 24548666.519554257}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24548666.519554257}'
INFO       2022-04-12 14:51:09,802: topic='field_update' sending data='{"currentTimestep": 58}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 58}'
DEBUG      2022-04-12 14:51:09,802: Timestep:    57-{'drag': 24548666.519554257}
INFO       2022-04-12 14:51:09,942: topic='drag' sending data='{"drag": 24433652.179808944}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 24433652.179808944}'
INFO       2022-04-12 14:51:09,942: topic='field_update' sending data='{"currentTimestep": 59}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 59}'
DEBUG      2022-04-12 14:51:09,942: Timestep:    58-{'drag': 24433652.179808944}
INFO       2022-04-12 14:51:10,078: topic='drag' sending data='{"drag": 24287657.52915899}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 24287657.52915899}'
INFO       2022-04-12 14:51:10,078: topic='field_update' sending data='{"currentTimestep": 60}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 60}'
